1	2	3	4
1005	No Name	Free	Receive Threatened(2) for your next Movement Phase. (You cannot roll dice, instead, your total movement is 2)
1006	No Name	Free	Receive Threatened(1) for your next Movement Phase. (You cannot roll dice, instead, your total movement is 1)
1007	No Name	Free	Lose 4 RP.
1008	No Name	Free	Lose 6 RP.
1009	No Name	Free	Receive Fear for 1 Cycle. (Cannot kill any Character by any means).
1010	No Name	Free	Sickness: You cannot select cards from the Zombie Pool during the next Zombie Phase.
1011	No Name	Free	Respawn.
1012	No Name	Free	Lose 1 stock.
1013	No Name	Free	Receive Disruption for 1 turn. (You cannot use any ability at all).
1014	No Name	Free	All Zombies in Range(4) receive Fear for 1 turn.
1015	No Name	Free	If you kill a Viking during your next landing, you also die.
1016	No Name	Free	Destroy target Weakling Zombie.
1017	No Name	Free	All Weakling Zombies are destroyed.
1018	No Name	Free	Lose all RP.
1019	No Name	Free	Transfer 1 stock to target Viking.
1020	No Name	Free	Lose 3 RP and target Viking receives 3 PP.
1021	No Name	Free	Lose 5 RP and target Viking receives 5 PP.
1022	No Name	Free	Receive Agression(-1) for your next landing. (Your range decreases by 1).
1023	No Name	Free	Allergic: Radioactive Zones will not give you any RP during your next Movement Phase.
1024	No Name	Free	All Non-Weakling Zombies lose or gain RP until all have 3 RP.
1025	No Name	Free	All Vikings in Range(5) receive Quickness(3) for their next Movement Phase. (They add 3 to their total movement).
1026	No Name	Free	Nearest Viking receives Instinct(1) for 1 turn. (Can kill Zombies in Range(1)).
1027	No Name	Free	All Vikings in Range(4) instantly gain 3 PP.
1028	Angry Gods	Free	You die.
1029	Malfunctioning Wires	Free	All Zombies in Range(4) receive Paralysis for their next Movement Phase.
1030	No Name	Free	All Zombies in Range(5) receive Slowness(2) for their next Movement Phase.
1031	No Name	Free	Lose 1 RP for each Viking stock in play.
1032	No Name	Free	If you have 8 or more RP, all Zombies in Range(10) (including you) die and this card is destroyed, otherwise, it returns to the pool as if it was not selected.
